Point Id,Northing,Easting,Elevation,Code,Code Description,,,,
2270,6007747.476,639882.855,649.748,BED,BED,,,,
2271,6007746.924,639884.565,649.651,BED,BED,,,,
2272,6007746.896,639886.206,649.853,BED,BED,,,,
2273,6007746.771,639888.087,649.673,BED,BED,,,,
2274,6007747.02,639889.091,649.487,BED,BED,,,,
2275,6007747.193,639890.537,649.477,BED,BED,,,,
2276,6007747.255,639891.73,649.874,WL,WATERLEVEL,,,,
2277,6007747.664,639893.066,650.319,BOB,BOTTOM OF BANK,,,,
2278,6007748.302,639896.066,652.775,TOB,TOP OF BANK,,,,
2279,6007748.383,639898.944,653.036,GS,GROUND SHOT,,,,
2280,6007721.523,639882.711,650.419,TL,TREELINE,,,,
2281,6007722.683,639879.751,650.356,GS,GROUND SHOT,,,,
2282,6007723.407,639877.923,650.172,GS,GROUND SHOT,,,,
2283,6007723.986,639877.537,650.094,WL,WATERLEVEL,,,,
2284,6007724.444,639876.618,649.976,BED,BED,,,,
2285,6007725.443,639875.321,649.708,BED,BED,,,,
2286,6007725.991,639874.548,649.57,BED,BED,,,,
2287,6007726.482,639873.441,649.594,BED,BED,,,,
2288,6007727.734,639872.246,649.716,BED,BED,,,,
2289,6007727.633,639871.196,650.042,WL,WATERLEVEL,,,,
2290,6007727.682,639871.047,650.068,BOB,BOTTOM OF BANK,,,,
2291,6007727.906,639870.668,651.184,TOB,TOP OF BANK,,,,
2292,6007729.121,639869.911,651.382,TL,TREELINE,,,,
2293,6007693.192,639878.103,650.991,GS,GROUND SHOT,,,,
2294,6007690.548,639874.697,650.494,GS,GROUND SHOT,,,,
2295,6007689.74,639873.076,650.223,WL,WATERLEVEL,,,,
2296,6007689.072,639872.387,650.114,BED,BED,,,,
2297,6007688.044,639871.466,649.961,BED,BED,,,,
2298,6007687.682,639870.224,649.708,BED,BED,,,,
2299,6007686.32,639869.134,649.665,BED,BED,,,,
2300,6007684.533,639868.003,649.822,BED,BED,,,,
2301,6007683.777,639867.891,650.222,WL,WATERLEVEL,,,,
2302,6007683.049,639867.14,650.706,BOB,BOTTOM OF BANK,,,,
2303,6007682.774,639865.89,652.541,TOB,TOP OF BANK,,,,
2304,6007681.777,639864.625,652.643,GS,GROUND SHOT,,,,
2305,6007673.68,639914.795,651.015,TL,TREELINE,,,,
2306,6007671.048,639913.931,651.139,GS,GROUND SHOT,,,,
2307,6007669.882,639913.713,650.901,WL,WATERLEVEL,,,,
2308,6007669.2,639913.464,650.686,BED,BED,,,,
2309,6007667.865,639912.536,650.416,BED,BED,,,,
2310,6007666.003,639912.373,650.258,BED,BED,,,,
2311,6007664.081,639911.87,650.414,BED,BED,,,,
2312,6007663.095,639911.93,650.731,BED,BED,,,,
2313,6007661.901,639911.767,650.868,WL,WATERLEVEL,,,,
2314,6007660.963,639911.078,650.909,GS,GROUND SHOT,,,,
2315,6007657.816,639913.194,651.413,TOB,TOP OF BANK,,,,
2316,6007656.1,639913.26,651.68,GS,GROUND SHOT,,,,
2350,6008752.113,639944.936,648.078,GS,GROUND SHOT,,,,
2351,6008752.372,639949.314,647.62,GS,GROUND SHOT,,,,
2352,6008752.018,639952.045,647.496,TOB,TOP OF BANK,,,,
2353,6008751.181,639954.531,646.616,BOB,BOTTOM OF BANK,,,,
2354,6008750.971,639954.587,646.66,WL,WATERLEVEL,,,,
2355,6008750.942,639954.946,646.391,BED,BED,,,,
2356,6008751.316,639956.232,645.845,BED,BED,,,,
2357,6008751.446,639957.1,645.929,BED,BED,,,,
2358,6008751.532,639957.771,645.905,BED,BED,,,,
2359,6008751.852,639958.47,646.167,BED,BED,,,,
2360,6008751.801,639959.085,646.626,WL,WATERLEVEL,,,,
2361,6008751.766,639959.506,646.769,TOB,TOP OF BANK,,,,
2362,6008752.254,639960.672,646.97,TL,TREELINE,,,,
2363,6008969.421,639860.82,646.644,TL,TREELINE,,,,
2364,6008968.375,639861.732,646.598,TOB,TOP OF BANK,,,,
2365,6008967.835,639862.381,646.133,WL,WATERLEVEL,,,,
2366,6008967.272,639862.253,645.635,BED,BED,,,,
2367,6008965.748,639862.714,645.661,BED,BED,,,,
2368,6008964.096,639863.682,645.779,BED,BED,,,,
2369,6008962.647,639864.395,645.878,BED,BED,,,,
2370,6008961.122,639865.441,645.954,BED,BED,,,,
2371,6008959.987,639866.238,645.897,BED,BED,,,,
2372,6008958.864,639867.078,645.985,BED,BED,,,,
2373,6008958.375,639867.368,646.082,BAR,BAR,,,,
2374,6008957.488,639868.183,646.229,BAR,BAR,,,,
2375,6008956.975,639868.692,646.405,BAR,BAR,,,,
2376,6008956.516,639868.876,646.106,BAR,BAR,,,,
2377,6008956.425,639868.805,646.119,WL,WATERLEVEL,,,,
2378,6008955.845,639869.231,645.759,BED,BED,,,,
2379,6008954.583,639870.182,645.882,BED,BED,,,,
2380,6008953.535,639871.004,646.083,BED,BED,,,,
2381,6008953.437,639870.999,646.126,BAR,BAR,,,,
2382,6008952.904,639871.253,646.434,BAR,BAR,,,,
2383,6008951.09,639872.79,646.331,BAR,BAR,,,,
2384,6008949.219,639874.21,646.125,BAR,BAR,,,,
2385,6008948.634,639874.587,646.087,WL,WATERLEVEL,,,,
2386,6008948.355,639874.589,646.029,BED,BED,,,,
2387,6008947.113,639875.89,645.917,BED,BED,,,,
2388,6008945.652,639877.041,645.871,BED,BED,,,,
2389,6008943.924,639878.376,645.804,BED,BED,,,,
2390,6008942.368,639879.333,645.79,BED,BED,,,,
2391,6008940.846,639880.254,645.889,BED,BED,,,,
2392,6008940.587,639880.332,646.062,BOB,BOTTOM OF BANK,,,,
2394,6008940.412,639880.939,646.205,TOB,TOP OF BANK,,,,
2395,6008939.599,639880.875,646.062,TL,TREELINE,,,,
2396,6008932.469,639891.302,646.109,TL,TREELINE,,,,
2397,6008932.469,639891.302,646.109,MARSH,MARSH,,,,
2398,6008932.413,639891.799,645.82,BED,BED,,,,
2399,6008932.366,639892.926,645.68,BED,BED,,,,
2400,6008932.35,639894.07,645.534,BED,BED,,,,
2401,6008932.39,639895.578,645.371,BED,BED,,,,
2402,6008932.648,639897.721,645.17,BED,BED,,,,
2403,6008932.93,639898.934,645.298,BED,BED,,,,
